-0.050293,-0.008057,1.022217
-0.043701,-0.003906,1.007324
-0.05249,-0.009277,1.014404
-0.049072,-0.010742,1.011719
-0.041992,0.000977,1.012695
-0.044189,-0.002197,1.029053
-0.055664,-0.00708,1.020264
-0.04541,-0.006592,1.014893
-0.041016,-0.00415,1.015381
-0.050293,-0.002686,1.022705
-0.051514,-0.00708,1.018799
-0.044434,-0.009033,1.011719
-0.047119,-0.009766,1.015869
-0.046387,0.004395,1.012939
-0.045654,-0.006104,1.012939
-0.046631,-0.007324,1.020508
-0.045654,0.000244,1.02124
-0.051758,-0.015137,1.014893
-0.045654,-0.001465,1.023438
-0.044434,-0.006104,1.009766
-0.039795,-0.000977,1.012451
-0.048096,-0.004883,1.010986
-0.048584,-0.003418,1.02002
-0.047607,-0.003662,1.02124
-0.045654,-0.004639,1.022461
-0.047607,-0.003662,1.022705
-0.043457,-0.008789,1.018311
-0.037842,-0.000977,1.01416
-0.048584,-0.005859,1.013672
-0.050537,-0.008057,1.011475
-0.048828,-0.001953,1.01709
-0.045654,-0.004883,1.006592
-0.050293,-0.005371,1.012695
-0.049072,-0.002441,1.024658
-0.04834,-0.004883,1.01709
-0.040771,-0.007568,1.013916
-0.050049,-0.005615,1.022705
-0.046387,-0.006592,1.015137
-0.043213,-0.004883,1.017578
-0.041016,-0.007813,1.010498
-0.04834,-0.008057,1.017578
-0.043457,-0.005859,1.018555
-0.048828,-0.010254,1.018311
-0.045654,-0.001465,1.029053
-0.043457,-0.006836,1.020508
-0.055176,-0.011475,1.027588
-0.047363,-0.006592,1.02124
-0.044922,-0.006104,1.016602
-0.049805,-0.007813,1.01416
-0.05127,-0.009521,1.01416
-0.044922,-0.007324,1.01709
-0.051025,-0.005127,1.019043
-0.044434,-0.010498,1.021973
-0.053467,-0.005127,1.018799
-0.048584,-0.005371,1.008789
-0.046387,-0.003906,1.020508
-0.044434,-0.005859,1.020752
-0.049561,-0.001953,1.009277
-0.044189,-0.005859,1.013184
-0.04248,-0.006592,1.018555
-0.044678,-0.003418,1.015625
-0.049805,-0.005371,1.010254
-0.050293,-0.00708,1.015137
-0.050049,-0.000977,1.003906
-0.041748,-0.000488,1.007324
-0.046631,-0.010498,1.024658
-0.049072,-0.00415,1.01001
-0.04541,0.000977,1.009766
-0.050293,-0.006104,1.018311
-0.046875,-0.010254,1.003174
-0.047119,-0.012939,1.020508
-0.043213,-0.002197,1.02417
-0.042725,-0.001221,1.024414
-0.051514,-0.01001,1.015625
-0.045166,-0.007813,1.016602
-0.044434,-0.002441,1.007568
-0.046631,-0.005127,1.01123
-0.045898,-0.007568,1.012207
-0.049805,-0.008789,1.007324
-0.045654,-0.007324,1.016846
-0.047852,-0.006836,1.021973
-0.04834,-0.006836,1.018066
-0.049072,-0.008301,1.02417
-0.045166,-0.004883,1.012939
-0.047607,-0.001221,1.021484
